episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-8.110592526152942,-8.349220845599529,-8.459147231639548,-8.587877629879827,-9.345354578157512,-8.110523188412778,-8.110524175029495,-25.652495436072705,
1,-115.67486001055794,-109.25302347966579,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-8.285744766060182,-8.501869791470993,-8.59109102034546,-8.698438676402438,-9.495151909927898,-8.286011814314552,-8.28603406684396,-25.46829969051004,
1,-100.48111804126562,-111.88489527156058,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-8.117747567040558,-8.340612037389636,-8.46971071388969,-8.587285226197844,-9.474420397455052,-8.118220780137195,-8.11814350462255,-24.293209517748682,
1,-127.55777090604592,-110.91589835860313,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-8.185894870681746,-8.430935404791072,-8.547118522509143,-8.654061320726646,-9.549711566877845,-8.18576837422069,-8.18578618631154,-25.53795559624506,
1,-119.01330453425165,-108.6626777916899,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-8.314320541166888,-8.58603055843193,-8.678230445530312,-8.769857657049151,-9.558058156529285,-8.314240626164734,-8.314135287324245,-24.218346361246493,
1,-105.02490183805986,-110.74638557605964,-9.838849636767085,-9.597813930484532,-9.611532110186445,-9.818958255084443,-10.67351773262763,-7.92824491459535,-7.923310997273188,-14.58887458218805,
2,-89.31603320349365,-86.59857918132136,-9.606733068145218,-9.561055547822413,-9.722045236060257,-9.873756660445967,-10.601331818496567,-8.025753673513968,-8.022649426317459,-14.864400991331776,
2,-72.77030211424469,-85.98671468173643,-9.577770635435256,-9.61186609627705,-9.82016875301056,-10.007730684385155,-10.493897266807187,-7.9109850770024055,-7.897506781930653,-13.847002257311987,
2,-95.87532328267694,-88.47231751286174,-9.810885791689962,-9.532169835142637,-9.663571281680897,-9.607354125088339,-10.175046104393987,-7.993144692423692,-7.989656641920415,-15.321270761946876,
2,-92.40281263705938,-86.99823845604696,-9.623280159460883,-9.457434729274595,-9.666831877122744,-9.833247804668979,-10.757948024180793,-7.842873210995575,-7.834518050140204,-14.922511092462793,
2,-92.19718444440126,-87.54511099751758,-9.945288058822822,-9.90720724993832,-9.960173625621241,-9.919713234408745,-10.668188157210116,-9.636886057228377,-9.640101314439043,-13.190696821748942,
3,-73.89430851605832,-70.34955873231594,-10.056363884811603,-9.93486772743702,-10.034261498469265,-10.102752936609491,-11.041130231308943,-9.519685499632418,-9.590794449238295,-13.146047576630517,
3,-74.9182363633629,-70.18682009963153,-9.87529363233306,-9.81343621018189,-10.011191897442343,-10.016984390396882,-10.538742030060854,-9.57826916726815,-9.624900232841764,-12.967561420846286,
3,-83.5809280674256,-71.42092230021822,-10.072739047565861,-10.001656820790894,-10.168828036718198,-10.279253257838104,-10.351278323275572,-9.70606595176134,-9.776654843922692,-12.971524812889827,
3,-56.11390033484637,-69.04520625007126,-9.846628931017715,-9.883728617600667,-10.038609219507315,-10.188123553748552,-10.924207319331666,-9.73622444700709,-9.777661290647005,-13.99862656954087,
3,-63.04189193277017,-71.03019321872453,-10.015978714419758,-9.87678871042161,-10.059833591093659,-10.16788739369293,-10.93840356055,-9.637038394381898,-9.71295331770297,-13.491844118816125,
4,-63.87680397974168,-57.79267472267007,-9.637608216780377,-9.777805781413692,-9.838263469666536,-10.051270989855363,-11.012632828590085,-9.564482565915783,-9.56411719420491,-13.50491901735247,
4,-62.359978351393075,-57.47650209395065,-10.182013053914824,-10.106885375255175,-10.211142577455833,-10.155710933211074,-10.87270715187153,-9.532505218594139,-9.576085047976765,-13.258036745226937,
4,-56.219026156196456,-57.661998573601494,-9.829709107875571,-9.955199578704562,-10.203409481732544,-10.397955797973962,-10.754587577824267,-9.35410113776574,-9.393535016474042,-13.825554661071877,
4,-45.52307988419906,-56.60877724607123,-9.973071482003938,-9.901695332805817,-9.92321442159441,-10.025777662882337,-11.013494940858715,-9.84363210258393,-9.835205952749527,-13.413756190964737,
4,-45.281870571992805,-58.33902167186494,-10.270551373309827,-10.135288756756129,-10.293377195967787,-10.394348152454274,-10.894317493818187,-9.99528537733225,-10.045926136896771,-13.767909405197331,
5,-52.90609271480833,-47.91044164460652,-10.3830129150317,-10.358140117290857,-10.391144835595725,-10.39283132374049,-11.050538508561319,-10.151587872218517,-10.143204438483728,-13.253520431036572,
5,-48.16702678914189,-47.42728727706571,-10.359886352058844,-10.29299377031334,-10.485039743444444,-10.537402044589394,-11.133843918297458,-9.92060159953469,-9.98754769120839,-13.680843125117145,
5,-52.240968391639974,-47.86684912910873,-10.267350298464347,-10.190439883160083,-10.228887908117846,-10.336411900040147,-11.008609633533135,-9.712254781968669,-9.756289684141572,-13.363694574453358,
