episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-11.650525230272907,-11.926191874634167,-12.3767461363844,-12.694800440933664,-13.050306313240778,-11.650921880115066,-11.650627782895851,-22.12110088898716,
1,-13.183739292664853,-2.7089434408111135,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-11.806737269595338,-12.035086645340849,-12.432618888386129,-12.7534987346764,-13.388433898640812,-11.807937242413706,-11.807186596317582,-22.853102626370607,
1,4.548524951372883,4.887957426211514,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.133198976486554,-12.346037895994208,-12.654356556504851,-12.882385819257992,-13.37547556187631,-12.131900594480081,-12.133306580089373,-23.176425964223945,
1,-6.830705097818724,2.433566775893338,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.180613363700726,-12.425887137286926,-12.780610559808247,-13.012545495813104,-13.454938705902643,-12.18131445578787,-12.180578034123219,-22.902929654526496,
1,8.092001367238625,-1.0139439261746928,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.103396013868911,-12.26069901491342,-12.447196185290853,-12.584085023061178,-13.252966729772497,-12.1056312142082,-12.105444836741908,-24.440714173035953,
1,1.0866529493827555,3.5065744650128536,-12.631028278516474,-12.096308758243113,-12.40741258768886,-12.637158303486526,-13.51608102114401,-11.119533967884752,-12.214229973506958,-11.83339461783995,
2,8.238568451367197,20.99836816614682,-12.54165804174097,-12.628707819780747,-12.782556158810365,-12.827722424619337,-13.528566644612424,-10.961372078463656,-11.901145328483182,-11.341461100236277,
2,8.69952900649388,21.634674421439893,-12.291714576909811,-11.58520574447938,-11.87132671721564,-12.17117956620712,-13.490035079630372,-11.343099477091483,-12.277909868624432,-12.11648564172647,
2,25.62407391515523,14.641987550798973,-12.725386081345599,-12.113780850457282,-12.08109498462997,-12.09606865699737,-12.936684600842273,-11.511589700848438,-12.357492257884179,-12.069624803689395,
2,30.61968842630415,21.436223248736777,-12.778883400085464,-11.73116664510483,-12.087103661000095,-12.45499291821286,-13.85251713714162,-10.754579871718072,-12.019591877912358,-11.508543342539081,
2,14.91315499059361,19.991597657738406,-13.380669599566506,-11.44419391368152,-12.251566522072903,-12.986556551082662,-14.57710609325905,-12.265840970220165,-13.177653457601233,-13.011506419084814,
3,38.972506661982926,30.27201360863318,-13.45474688132168,-13.129539524192557,-13.547413313062712,-13.76214662447871,-14.647684608742289,-11.870313632225784,-13.397662380689622,-12.48176794677651,
3,35.748281368533476,29.658554954648153,-14.141794830590259,-12.617382402391481,-13.343626650933913,-13.905037100880172,-14.760599550140665,-11.948752909415163,-13.552583441033539,-12.508770000570811,
3,19.03090769247409,25.51384909594211,-13.255711072887719,-11.849089193659207,-12.477015360498536,-12.941632847491528,-14.410263637889779,-11.44458473908888,-13.011206408943075,-12.065461681122125,
3,33.0246625751218,27.0128181343038,-14.316770049483408,-12.534583858811155,-13.517973745092185,-14.293251988769786,-15.302561963100974,-12.263665959510897,-13.796497663360832,-12.812564511883643,
3,23.365660145300488,30.6213474422795,-12.932794337304987,-12.401248472577246,-13.11255025557194,-13.411683455132945,-14.066429164563543,-12.387852633366826,-12.583674561236954,-14.468547978585503,
4,35.42084535603964,34.37635569993518,-12.734268571013692,-12.602856779280277,-12.886176451426754,-13.022004189998881,-13.761447783907352,-12.495295214215066,-12.669305940431531,-14.821023346628019,
